Tag Name,List,Rule ID,Level,Description,Value,Message (Display IF <col 1> is <col 6>),[Country],[Tag Name Alias],[CountryFieldOverride]
Races[].Race,Races,902,2,Race,<Blank>,"Field cannot be blank"
Races[].Race,Races,903,2,Race,<Not Applicable>,"Field cannot be Not Applicable (US only)",USandTerritories,,Incident
HospitalArrivalDate,,4503,2,ED/Hospital Arrival Date,<Blank>,"Field cannot be blank"
HospitalArrivalDate,,4515,2,ED/Hospital Arrival Date,<Not Applicable>,"Field cannot be Not Applicable"
HospitalArrivalTime,,4603,2,ED/Hospital Arrival Time,<Blank>,"Field cannot be blank"
Ethnicity,,1002,2,Ethnicity,<Blank>,"Field cannot be blank"
Ethnicity,,1003,2,Ethnicity,<Not Applicable>,"Field cannot be Not Applicable (US only)",USandTerritories,,Incident
FacilityId,,8402,2,Facility ID,<Blank>,"Field cannot be blank"
HospitalDischargeDate,,7703,2,Hospital Discharge Date,<Blank>,"Field cannot be blank"
HospitalDischargeTime,,7803,2,Hospital Discharge Time,<Blank>,"Field cannot be blank"
InjuryZip,,2002,2,Incident Location Zip Code,<Blank>,"Field cannot be blank"
PulseOximetry,,5202,2,Initial ED/Hospital Oxygen Saturation,<Blank>,"Field cannot be blank"
PulseRate,,4802,2,Initial ED/Hospital Pulse Rate,<Blank>,"Field cannot be blank"
RespiratoryAssistance,,5102,2,Initial ED/Hospital Respiratory Assistance,<Blank>,"Field cannot be blank"
RespiratoryRate,,5002,2,Initial ED/Hospital Respiratory Rate,<Blank>,"Field cannot be blank"
Sbp,,4702,2,Initial ED/Hospital Systolic Blood Pressure,<Blank>,"Field cannot be blank"
Temperature,,4902,2,Initial ED/Hospital Temperature,<Blank>,"Field cannot be blank"
EmsPulseOximetry,,3902,2,Initial Field Oxygen Saturation,<Blank>,"Field cannot be blank"
EmsPulseRate,,3702,2,Initial Field Pulse Rate,<Blank>,"Field cannot be blank"
EmsRespiratoryRate,,3802,2,Initial Field Respiratory Rate,<Blank>,"Field cannot be blank"
EmsSbp,,3602,2,Initial Field Systolic Blood Pressure,<Blank>,"Field cannot be blank"
IncidentDate,,1203,2,Injury Incident Date,<Blank>,"Field cannot be blank"
IncidentTime,,1303,2,Injury Incident Time,<Blank>,"Field cannot be blank"
InterFacilityTransfer,,4401,2,Inter-Facility Transfer,<Blank>,"Field cannot be blank"
InterFacilityTransfer,,4405,2,Inter-Facility Transfer,<Not Applicable>,"Field cannot be Not Applicable"
LastModifiedDateTime,,8202,2,Last Modified Date Time,<Blank>,"Field cannot be blank"
PatientId,,8302,2,Patient ID,<Blank>,"Field cannot be blank"
HomeZip,,2,2,Patient's Home Zip Code,<Blank>,Field cannot be blank
PrimaryMethodPayment,,8002,2,Primary Method of Payment,<Blank>,"Field cannot be blank"
Sex,,1102,2,Sex,<Blank>,"Field cannot be blank"
Sex,,1103,2,Sex,<Not Applicable>,"Field cannot be Not Applicable"
